source,cloud,region,latitude,longitude
geoloc,AWS,af-south-1,-33.92490005493164,18.424100875854492
geoloc,AWS,ap-northeast-1,35.69628143310547,139.73855590820312
geoloc,AWS,ap-northeast-2,37.473548889160156,126.620361328125
geoloc,AWS,ap-northeast-3,34.67094039916992,135.50750732421875
geoloc,AWS,ap-southeast-1,1.287950038909912,103.8517837524414
geoloc,AWS,ap-southeast-2,-33.86714172363281,151.2071075439453
geoloc,AWS,ca-central-1,45.502079010009766,-73.56201171875
geoloc,AWS,eu-central-1,50.11090087890625,8.682100296020508
geoloc,AWS,eu-north-1,59.315120697021484,18.051319122314453
geoloc,AWS,eu-south-1,45.47200012207031,9.192000389099121
geoloc,AWS,eu-west-1,53.35388946533203,-6.243330001831055
geoloc,AWS,eu-west-2,51.5122184753418,-0.12574
geoloc,AWS,eu-west-3,48.8602294921875,2.3410699367523193
geoloc,AWS,us-east-1,39.043701171875,-77.47419738769531
geoloc,AWS,us-east-2,39.99557876586914,-82.99945831298828
geoloc,AWS,us-west-1,37.330528259277344,-121.83822631835938
geoloc,AWS,us-west-2,45.73722839355469,-119.81143188476562
