timestamp,run_id,from_cloud,from_region,to_cloud,to_region,bitrate_Bps,avgrtt
2022-02-03T17:28:01Z,kokusa,AWS,sa-east-1,AWS,us-west-1,48758784.0,172.797
2022-02-03T17:28:04Z,kokusa,AWS,us-west-1,AWS,eu-west-3,44957696.0,141.82
2022-02-03T17:28:00Z,kokusa,AWS,us-west-1,AWS,sa-east-1,24641536.0,172.74
2022-02-03T17:27:56Z,kokusa,AWS,eu-west-2,AWS,us-west-1,57933824.0,146.51
2022-02-03T17:28:00Z,kokusa,AWS,us-west-1,AWS,us-west-1,26520322048.0,0.018
2022-02-03T17:28:01Z,kokusa,AWS,ap-northeast-1,AWS,us-west-1,77332480.0,107.125
2022-02-03T17:28:00Z,kokusa,AWS,us-west-1,AWS,ap-southeast-1,4718592.0,177.88
2022-02-03T17:28:03Z,kokusa,AWS,us-west-1,AWS,ap-northeast-3,6684672.0,108.957
2022-02-03T17:28:00Z,kokusa,AWS,us-west-1,AWS,us-west-2,387448832.0,20.572
2022-02-03T17:27:58Z,kokusa,AWS,ca-central-1,AWS,us-west-1,118226944.0,78.037
2022-02-03T17:28:03Z,kokusa,AWS,ap-southeast-2,AWS,us-west-1,61865984.0,137.609
2022-02-03T17:27:58Z,kokusa,AWS,us-east-2,AWS,us-west-1,168165376.0,49.699
2022-02-03T17:28:00Z,kokusa,AWS,us-west-1,AWS,ap-northeast-2,59375616.0,137.95
2022-02-03T17:28:00Z,kokusa,AWS,us-west-1,AWS,eu-west-1,52428800.0,138.722
2022-02-03T17:28:02Z,kokusa,AWS,ap-northeast-2,AWS,us-west-1,61079552.0,138.7
2022-02-03T17:27:59Z,kokusa,AWS,us-west-2,AWS,us-west-1,403701760.0,20.816
2022-02-03T17:27:56Z,kokusa,AWS,eu-west-1,AWS,us-west-1,60686336.0,138.912
2022-02-03T17:27:56Z,kokusa,AWS,eu-north-1,AWS,us-west-1,46923776.0,174.548
2022-02-03T17:27:56Z,kokusa,AWS,eu-west-3,AWS,us-west-1,59637760.0,142.745
2022-02-03T17:27:59Z,kokusa,AWS,ap-south-1,AWS,us-west-1,33554432.0,233.549
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast1,GCP,asia-east2,245104640.0,45.637
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast1,GCP,asia-northeast3,321388544.0,33.148
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast2,GCP,asia-east2,106561536.0,44.825
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast2,GCP,asia-northeast1,500039680.0,9.279
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast1,GCP,asia-northeast2,451411968.0,9.066
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast3,GCP,asia-east2,269221888.0,50.674
2022-02-03T17:43:48Z,womomo,GCP,asia-east2,GCP,asia-northeast2,52035584.0,44.961
2022-02-03T17:43:48Z,womomo,GCP,asia-east1,GCP,asia-northeast1,254148608.0,34.17
2022-02-03T17:43:48Z,womomo,GCP,asia-east1,GCP,asia-east2,472776704.0,13.243
2022-02-03T17:43:49Z,womomo,GCP,asia-northeast3,GCP,asia-northeast1,284557312.0,33.067
2022-02-03T17:43:48Z,womomo,GCP,asia-east2,GCP,asia-northeast3,287178752.0,50.624
2022-02-03T17:43:49Z,womomo,GCP,asia-northeast3,GCP,asia-northeast2,312082432.0,30.14
2022-02-03T17:43:49Z,womomo,GCP,asia-east1,GCP,asia-northeast3,305397760.0,38.638
2022-02-03T17:43:48Z,womomo,GCP,asia-east2,GCP,asia-northeast1,159907840.0,46.032
2022-02-03T17:43:49Z,womomo,GCP,asia-east1,GCP,asia-northeast2,133824512.0,37.359
2022-02-03T17:43:48Z,womomo,GCP,asia-east2,GCP,asia-east1,550895616.0,13.521
2022-02-03T17:43:49Z,womomo,GCP,asia-northeast3,GCP,asia-east1,288489472.0,38.632
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast2,GCP,asia-east1,228196352.0,37.517
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast1,GCP,asia-east1,167772160.0,34.046
2022-02-03T17:43:48Z,womomo,GCP,asia-northeast2,GCP,asia-northeast3,354942976.0,30.293
2022-02-03T17:47:46Z,womomo,GCP,asia-south1,GCP,australia-southeast2,192151552.0,147.299
2022-02-03T17:47:16Z,womomo,GCP,asia-south2,GCP,asia-southeast1,200933376.0,69.913
2022-02-03T17:47:15Z,womomo,GCP,asia-south1,GCP,asia-southeast2,287440896.0,74.706
2022-02-03T17:47:18Z,womomo,GCP,australia-southeast1,GCP,asia-south2,154009600.0,170.604
2022-02-03T17:47:16Z,womomo,GCP,asia-southeast1,GCP,asia-south1,224264192.0,60.129
2022-02-03T17:47:22Z,womomo,GCP,asia-southeast2,GCP,asia-south1,288489472.0,74.971
2022-02-03T17:47:18Z,womomo,GCP,australia-southeast1,GCP,asia-southeast2,211419136.0,121.577
2022-02-03T17:47:25Z,womomo,GCP,australia-southeast2,GCP,asia-southeast1,219938816.0,83.465
2022-02-03T17:47:15Z,womomo,GCP,asia-south1,GCP,asia-south2,385613824.0,24.721
2022-02-03T17:47:16Z,womomo,GCP,asia-southeast1,GCP,asia-southeast2,515768320.0,15.275
2022-02-03T17:47:17Z,womomo,GCP,asia-southeast2,GCP,asia-southeast1,462028800.0,14.385
2022-02-03T17:47:24Z,womomo,GCP,asia-south2,GCP,australia-southeast2,58327040.0,157.071
2022-02-03T17:47:26Z,womomo,GCP,australia-southeast1,GCP,australia-southeast2,684589056.0,14.913
2022-02-03T17:47:16Z,womomo,GCP,asia-southeast1,GCP,australia-southeast1,201981952.0,94.168
2022-02-03T17:47:25Z,womomo,GCP,asia-southeast1,GCP,australia-southeast2,214171648.0,83.756
2022-02-03T17:47:16Z,womomo,GCP,asia-south2,GCP,australia-southeast1,29884416.0,167.376
2022-02-03T17:47:22Z,womomo,GCP,asia-southeast2,GCP,asia-south2,288882688.0,82.803
2022-02-03T17:47:17Z,womomo,GCP,australia-southeast1,GCP,asia-southeast1,172359680.0,99.047
2022-02-03T17:47:25Z,womomo,GCP,australia-southeast2,GCP,asia-southeast2,60162048.0,98.35
2022-02-03T17:47:16Z,womomo,GCP,asia-southeast1,GCP,asia-south2,281280512.0,69.728
2022-02-03T17:47:15Z,womomo,GCP,asia-south2,GCP,asia-south1,627965952.0,24.932
2022-02-03T17:47:18Z,womomo,GCP,australia-southeast1,GCP,asia-south1,69992448.0,155.32
2022-02-03T17:47:26Z,womomo,GCP,asia-southeast2,GCP,australia-southeast2,209977344.0,98.23
2022-02-03T17:47:25Z,womomo,GCP,australia-southeast2,GCP,australia-southeast1,677380096.0,15.261
2022-02-03T17:47:15Z,womomo,GCP,asia-south1,GCP,australia-southeast1,49414144.0,157.561
2022-02-03T17:47:16Z,womomo,GCP,asia-south2,GCP,asia-southeast2,276692992.0,85.705
2022-02-03T17:47:15Z,womomo,GCP,asia-south1,GCP,asia-southeast1,312213504.0,60.511
2022-02-03T18:08:53Z,womomo,GCP,europe-west2,GCP,europe-north1,768999424.0,39.999
2022-02-03T18:05:46Z,womomo,GCP,europe-west4,GCP,europe-central2,145096704.0,22.461
2022-02-03T18:05:40Z,womomo,GCP,europe-west1,GCP,europe-central2,260440064.0,27.06
2022-02-03T18:05:42Z,womomo,GCP,europe-west2,GCP,europe-west3,36831232.0,12.842
2022-02-03T18:05:47Z,womomo,GCP,europe-west3,GCP,europe-west4,428605440.0,10.168
2022-02-03T18:05:43Z,womomo,GCP,europe-north1,GCP,europe-west2,43909120.0,41.537
2022-02-03T18:05:42Z,womomo,GCP,europe-central2,GCP,europe-west1,204734464.0,25.115
2022-02-03T18:05:42Z,womomo,GCP,europe-west4,GCP,europe-west1,273416192.0,10.335
