cloud,region,latitude,longitude,count,lat_mean,lat_median,lat_stdev,lat_variance,sunshower_lat,MaestroPanel_lat,cockroach_lat,geoloc_lat,datacenters.com_lat,jsonmaur_lat,yugabyte_lat,long_mean,long_median,long_stdev,long_variance,sunshower_long,MaestroPanel_long,cockroach_long,geoloc_long,datacenters.com_long,jsonmaur_long,yugabyte_long,source
GCP,asia-east1,24.03,120.45,2,24.03,24.03,0.06,0.0,,,24.0717,,,,23.9919519,120.45,120.45,0.16,0.03,,,120.5624,,,,120.3300829,yugabyte/cockroach
GCP,asia-east2,22.32,114.17,1,22.32,22.32,0,0,,,,,,,22.319304,114.17,114.17,0,0,,,,,,,114.169361,yugabyte
GCP,asia-northeast1,35.69,139.69,2,35.69,35.69,0.0,0.0,,,35.689487,,,,35.689488,139.69,139.69,0.0,0.0,,,139.691706,,,,139.691706,yugabyte/cockroach
GCP,asia-northeast2,34.69,135.5,1,34.69,34.69,0,0,,,,,,,34.693725,135.5,135.5,0,0,,,,,,,135.502254,yugabyte
GCP,asia-northeast3,37.57,126.98,1,37.57,37.57,0,0,,,,,,,37.566535,126.98,126.98,0,0,,,,,,,126.977969,yugabyte
GCP,asia-south1,19.08,72.81,2,19.08,19.08,0.0,0.0,,,19.075984,,,,19.0825223,72.81,72.81,0.1,0.01,,,72.877656,,,,72.7411014,yugabyte/cockroach
GCP,asia-south2,28.7,77.1,1,28.7,28.7,0,0,,,,,,,28.704059,77.1,77.1,0,0,,,,,,,77.10249,yugabyte
GCP,asia-southeast1,1.35,103.82,2,1.35,1.35,0.0,0.0,,,1.352083,,,,1.352083,103.82,103.82,0.0,0.0,,,103.819836,,,,103.819836,yugabyte/cockroach
GCP,asia-southeast2,-6.21,106.85,1,-6.21,-6.21,0,0,,,,,,,-6.208763,106.85,106.85,0,0,,,,,,,106.845599,yugabyte
GCP,australia-southeast1,-33.87,151.21,2,-33.87,-33.87,0.0,0.0,,,-33.86882,,,,-33.867139,151.21,151.21,0.0,0.0,,,151.209296,,,,151.207114,yugabyte/cockroach
GCP,australia-southeast2,-37.81,144.96,1,-37.81,-37.81,0,0,,,,,,,-37.813628,144.96,144.96,0,0,,,,,,,144.963058,yugabyte
GCP,europe-central2,52.23,21.01,1,52.23,52.23,0,0,,,,,,,52.229676,21.01,21.01,0,0,,,,,,,21.012229,yugabyte
GCP,europe-north1,60.57,27.21,1,60.57,60.57,0,0,,,,,,,60.5695912,27.21,27.21,0,0,,,,,,,27.2097431,yugabyte
GCP,europe-west1,50.47,3.78,2,50.47,50.47,0.03,0.0,,,50.44816,,,,50.489824,3.78,3.78,0.06,0.0,,,3.81886,,,,3.7378805,yugabyte/cockroach
GCP,europe-west2,51.5,-0.13,2,51.5,51.5,0.01,0.0,,,51.507351,,,,51.500152,-0.13,-0.13,0.0,0.0,,,-0.127758,,,,-0.126236,yugabyte/cockroach
GCP,europe-west3,50.11,8.68,2,50.11,50.11,0.0,0.0,,,50.110922,,,,50.111512,8.68,8.68,0.0,0.0,,,8.682127,,,,8.680506,yugabyte/cockroach
GCP,europe-west4,53.44,6.82,2,53.44,53.44,0.0,0.0,,,53.4386,,,,53.4356948,6.82,6.82,0.03,0.0,,,6.8355,,,,6.7980783,yugabyte/cockroach
GCP,europe-west6,47.38,8.54,2,47.38,47.38,0.0,0.0,,,47.3769,,,,47.376887,8.54,8.54,0.0,0.0,,,8.5417,,,,8.541694,yugabyte/cockroach
GCP,northamerica-northeast1,50.84,-90.11,2,50.84,50.84,7.48,55.89,,,56.130366,,,,45.5581968,-90.11,-90.11,22.96,527.36,,,-106.346771,,,,-73.8703852,yugabyte/cockroach
GCP,northamerica-northeast2,43.65,-79.38,1,43.65,43.65,0,0,,,,,,,43.653226,-79.38,-79.38,0,0,,,,,,,-79.383184,yugabyte
GCP,southamerica-east1,-23.04,2.12,2,-23.04,-23.04,0.72,0.53,,,-23.55052,,,,-22.5255058,2.12,2.12,68.95,4754.36,,,-46.633309,,,,50.8793713,yugabyte/cockroach
GCP,us-central1,41.63,-94.75,2,41.63,41.63,0.57,0.32,,,42.032974,,,,41.2326957,-94.75,-94.75,1.65,2.73,,,-93.581543,,,,-95.9167207,yugabyte/cockroach
GCP,us-east1,33.5,-80.67,2,33.5,33.5,0.48,0.23,,,33.836082,,,,33.1637261,-80.67,-80.67,0.69,0.48,,,-81.163727,,,,-80.1845003,yugabyte/cockroach
GCP,us-east4,38.25,-76.98,2,38.25,38.25,1.1,1.2,,,37.478397,,,,39.0300218,-76.98,-76.98,0.75,0.56,,,-76.453077,,,,-77.5121424,yugabyte/cockroach
GCP,us-west1,44.71,-120.88,2,44.71,44.71,1.28,1.63,,,43.804133,,,,45.6094756,-120.88,-120.88,0.46,0.21,,,-120.554201,,,,-121.2088799,yugabyte/cockroach
GCP,us-west2,34.05,-118.24,1,34.05,34.05,0,0,,,,,,,34.052235,-118.24,-118.24,0,0,,,,,,,-118.243683,yugabyte
GCP,us-west3,40.76,-111.89,1,40.76,40.76,0,0,,,,,,,40.7608,-111.89,-111.89,0,0,,,,,,,-111.891,yugabyte
GCP,us-west4,36.17,-115.14,1,36.17,36.17,0,0,,,,,,,36.1699,-115.14,-115.14,0,0,,,,,,,-115.1398,yugabyte
